FullID,Population,IndID,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,Total_Reads,Total_corr,180knobreads,180knob%,180knobMB,180knobuncorMB,TR1total,TR1%,TR1MB,TR1uncorMB,CentCreads,CentC%,CentCMB,CentCuncorMB,Cpreads,CP%,CPMB,CPuncorMB,mtreads,mt%,mtMB,mtuncorMB,cDNAreads,cDNA%,cDNAMB,cDNAuncorMB,TotallTereads,TotallTe%,TotallTeMB,TotallTeuncorMB,TotFTereads,TotFTe%,TotFTeMB,TotFTeuncorMB,CRMallreads,CRMall%,CRMallMB
RIMMA0403.2,RIMMA0403,2,0,0,mays,SAL,1,1000,3.06,682508,633210.3333,74752,11.80524007,361.2403462,335.1478957,6025,0.951500581,29.11591778,27.01287018,2425,0.382969113,11.71885487,10.87240003,45370,7.165075744,219.2513178,203.4147585,18891,2.983368875,91.29108758,84.6971171,30406.66667,4.801985228,146.940748,136.3271932,414314,65.43070733,2002.179644,1857.561875,120494,1020682.335,582.2893604,540.2305028,1744.833333,0.275553515,8.431937571
RIMMA0404.1,RIMMA0404,1,1,1,mays,SAL,1,1500,3.17,593342,549389.3333,66931,12.18279933,386.1947386,357.5868049,9949,1.810919761,57.40615641,53.15371236,861,0.156719461,4.968006902,4.599994607,35268,6.419491217,203.4978716,188.4234725,17037,3.101079502,98.3042202,91.02219293,26915.66667,4.899197169,155.3045503,143.8001411,375800,68.40322103,2168.382107,2007.756066,118076,969202.5358,681.3035807,630.8350327,1604,0.291960528,9.255148748
RIMMA0405.1B,RIMMA0405,1B,0,0,mays,SAL,1,1100,3.17,964644,893622,96061,10.74962344,340.7630631,315.6743524,11702,1.309502228,41.51122063,38.45495333,2967,0.332019579,10.52502065,9.750115068,49241,5.510271681,174.6756123,161.8151048,24913,2.787867801,88.37540929,81.86876195,46109,5.159787919,163.565277,151.522769,618151,69.17365508,2192.804866,2031.359413,186764,1737400.394,662.519365,613.741318,2719.583333,0.30433263,9.647344365
RIMMA0406.1,RIMMA0406,1,0,0,mays,SAL,1,450,3.24,878787,824129,87772,10.65027441,345.0688909,323.6066077,10971,1.331223631,43.13164565,40.44898252,2457,0.298132938,9.659507189,9.058713886,22975,2.787791717,90.32445163,84.70653298,13020,1.579849757,51.18713211,48.00344111,41638,5.052364375,163.6966057,153.5151521,564365,68.48017725,2218.757743,2080.757453,160819,1509998.652,632.2475729,592.9236095,2780.333333,0.337366278,10.93066741
RIMMA0407.1,RIMMA0407,1,0,0,mays,SAL,1,450,3.425,799756,730853,90688,12.40851443,424.9916194,388.3764548,11331,1.550380172,53.1005209,48.52564407,1140,0.15598212,5.342387594,4.882114045,88189,12.06658521,413.2805434,377.6743469,34484,4.718322289,161.6025384,147.6796673,34419,4.709428572,161.2979286,147.4013011,469652,64.2608021,2200.932472,2011.311075,145922,1175982.836,683.8349846,624.9191628,1895.666667,0.259377285,8.883672001
RIMMA0409.1,RIMMA0409,1,0,0,mays,ML,1,107,3.11,1322077,1200172.667,96787,8.064422952,250.8035538,227.6777903,11369,0.947280364,29.46041931,26.7439718,2621,0.218385243,6.791781072,6.165533475,125505,10.45724532,325.2203294,295.232842,60093,5.007029544,155.7186188,141.3603217,61811.33333,5.150203387,160.1713253,145.4024589,804147,67.00260907,2083.781142,1891.642597,227465,2820598.589,589.4286461,535.0793865,3500,0.291624705,9.069528326
RIMMA0410.1B,RIMMA0410,1B,0,0,mays,ML,1,107,3.47,237440,213950,19963,9.330684739,323.7747605,291.7436405,4153,1.941107735,67.35643842,60.69284872,636,0.297265716,10.31512036,9.294642857,30994,14.48656228,502.6837111,452.9530829,13157,6.149567656,213.3899977,192.2792706,10333,4.829633092,167.5882683,151.008718,135314,63.24561814,2194.622949,1977.508339,41735,447287.6446,676.8892265,609.924402,732.3333333,0.342291813,11.8775259
RIMMA0416.1,RIMMA0416,1,0,0,mays,MH,1,2140,3,1394832,1277031.5,73707,5.771744863,173.1523459,158.5287691,3820,0.299131227,8.973936821,8.216043222,4116,0.322309982,9.669299465,8.852679032,130425,10.21313883,306.3941649,280.5176537,52455,4.107572914,123.2271874,112.8200385,65345.5,5.116984193,153.5095258,140.5448828,835079,65.39220058,1961.766018,1796.08512,221397,3835876.416,520.1054164,476.179927,3628.166667,0.284109411,8.523282316
RIMMA0417.1,RIMMA0417,1,0,0,mays,MH,1,2040,2.885,1700625,1552385.333,68629,4.420874027,127.5422157,116.4246468,7338,0.472691918,13.63716182,12.44844101,4713,0.303597303,8.758782184,7.995298787,174167,11.21931496,323.6772367,295.463018,69768,4.494244986,129.6589678,118.3568864,78471.66667,5.054909047,145.834126,133.1220924,1040103,67.00031092,1932.95897,1764.467272,279846,6330105.728,520.0742964,474.7405865,4272.166666,0.275200144,7.939524143
RIMMA0418.1,RIMMA0418,1,0,0,mays,MH,1,2040,2.925,1012791,936247.8333,65062,6.949228365,203.2649297,187.9028842,5127,0.547611414,16.01763386,14.80707767,4244,0.453298779,13.2589893,12.25692171,66779,7.132619978,208.6291343,192.8616812,29483,3.149059357,92.10998619,85.14863876,47060.16667,5.026464681,147.0240919,135.9125303,622127,66.44896552,1943.632242,1796.739382,171154,2462920.932,534.7146687,494.3028226,2856,0.305047435,8.922637471
RIMMA0421.1,RIMMA0421,1,0,0,mays,MH,1,2250,2.715,1627352,1503719.167,48636,3.234380533,87.81343148,81.1420885,2111,0.140385256,3.811459697,3.521896308,6289,0.418229689,11.35493607,10.49228133,87643,5.828415434,158.241479,146.2195917,37407,2.487632055,67.53921028,62.40813604,86225.83333,5.73417133,155.6827516,143.8552553,1047852,69.68402234,1891.921206,1748.188579,269075,8319212.821,485.8211834,448.9124817,4362.166666,0.290091844,7.875993576
RIMMA0422.1,RIMMA0422,1,0,0,mays,MH,1,2200,3.01,1082289,995902.5,89993,9.036326347,271.9934231,250.2833624,4915,0.493522207,14.85501844,13.66931568,3091,0.310371748,9.342189622,8.596511653,111169,11.16263891,335.9954313,309.1768372,38324,3.848167868,115.8298528,106.5845075,48062.5,4.826024636,145.2633415,133.6686643,641935,64.45761508,1940.174214,1785.312749,180198,1994151.086,544.6275916,501.156327,2682.666667,0.269370412,8.108049399
RIMMA0423.1,RIMMA0423,1,0,0,mays,MH,1,2095,3.32,1098715,1004079.5,49864,4.966140629,164.8758689,150.6746335,6182,0.6156883,20.44085155,18.6802219,6069,0.604434211,20.06721579,18.33876847,108166,10.77265296,357.6520783,326.8464706,42937,4.276255018,141.9716666,129.7432364,51698.5,5.148845286,170.9416635,156.2179637,659595,65.69151148,2180.958181,1993.105946,173989,3503505.297,575.2965577,525.7446016,3089,0.307644962,10.21381275
RIMMA0424.1,RIMMA0424,1,0,0,mays,MH,1,2400,2.695,1425292,1302457.5,46156,3.543762464,95.50439842,87.27363937,5937,0.455830613,12.28463501,11.22592072,5570,0.42765311,11.5252513,10.53198222,142888,10.97064588,295.6589063,270.1784336,54460,4.181326454,112.6867479,102.9751798,68374.5,5.24965306,141.47815,129.2852815,871179,66.88732646,1802.613448,1647.260635,232506,6560992.796,481.0933716,439.6317877,4297.666667,0.329965981,8.892583189
RIMMA0425.1,RIMMA0425,1,0,0,mays,MH,1,2130,2.98,1910013,1757566.833,62415,3.551216307,105.826246,97.37980841,6870,0.390881295,11.64826259,10.71856579,6758,0.384508849,11.4583637,10.54382352,131506,7.482275923,222.9718225,205.175504,56115,3.192766212,95.1444331,87.55055594,96331.16667,5.480939037,163.3319833,150.2957711,1211736,68.94395007,2054.529712,1890.549059,316424,8910299.25,536.5050717,493.6843467,5528.166667,0.314535218,9.373149492
RIMMA0426.1,RIMMA0426,1,0,0,mays,SAH,1,2500,2.775,1108325,1012439,6882,0.679744656,18.86291421,17.23100174,1457,0.143909905,3.993499855,3.648004872,5209,0.514500133,14.27737869,13.04218077,108366,10.70345967,297.0210057,271.324431,41365,4.085678248,113.3775714,103.5687862,54521,5.38511456,149.436929,136.5084925,684303,67.58955354,1875.610111,1713.34295,165600,24362089.28,453.8940124,414.6256739,3624.166667,0.357963953,9.933499698
RIMMA0428.1,RIMMA0428,1,0,0,mays,SAL,1,700,2.99,1114646,1015298.5,60649,5.973514193,178.6080744,162.6888806,6171,0.607801548,18.17326629,16.5534977,2708,0.26671959,7.974915751,7.264117935,119384,11.7585124,351.5795207,320.2435213,46229,4.553242224,136.1419425,124.0077208,53118.5,5.231811137,156.431153,142.4885704,669431,65.93440254,1971.438636,1795.725899,183545,3072646.922,540.530248,492.3532225,3193.5,0.31453804,9.404687389
RIMMA0430.1,RIMMA0430,1,0,0,mays,SAH,1,2585,2.65,729392,663056.8333,4984,0.751670106,19.9192578,18.10768421,884,0.133321905,3.533030477,3.211716059,2882,0.43465354,11.51831882,10.47077566,75841,11.43808437,303.1092357,275.5427123,28727,4.332509456,114.8115006,104.3698724,37608.16667,5.671937122,150.3063337,136.6365982,456249,68.80993862,1823.463373,1657.626969,114540,15238067.75,457.7752385,416.1424858,2301.333333,0.347079348,9.19760272
