FullID,Population,IndID,Plant,AB10Freq,ab10round,Species,Region,Group,Altitude,X1C_GS,GS_bp,Total_Reads,Total_corr,X180knobreads,X180knob.,X180knobbp,TR1total,TR1.,TR1bp,CentCreads,CentC.,CentCbp,mtreads,mt.,mtbp,TotalTereads,TotalTe.,TotalTebp,Gsnoknob,GSno180,GSnoTR1
amA,Am,A,1,NA,NA,mexicana,MH,,1591,5.42,5300760000,342611,329192,38767,0.11315165,599789740.9,1048,0.003058863,16214296.91,1642,0.004792607,25404461.39,13419,0.039166869,207614170.1,224486,0.655221228,3473170474,4684755962,4700970259,5284545703
amB,Am,B,1,NA,NA,mexicana,MH,,1591,5.46,5339880000,325656,315685,50291,0.154429828,824636748.8,782,0.002401307,12822690.69,1609,0.004940796,26383260,9971,0.030618198,163497505,214702,0.659290785,3520533679,4502420560,4515243251,5327057309
amC,Am,C,1,NA,NA,mexicana,MH,,1591,5.5,5379000000,240979,235508,34620,0.143663971,772768498.5,687,0.002850871,15334834.16,1038,0.004307429,23169662.09,5471,0.022703223,122120637.1,147557,0.612323065,3293685769,4590896667,4606231502,5363665166
amD,Am,D,1,NA,NA,mexicana,MH,,1591,5.33,5212740000,274513,267937,30948,0.11273783,587672997.3,882,0.003212963,16748338.62,1242,0.004524376,23584395.2,6576,0.02395515,124871966.9,180445,0.657327704,3426478416,4608318664,4625067003,5195991661
amE,Am,E,1,NA,NA,mexicana,MH,,1591,5.63,5506140000,208336,202750,22646,0.108699409,598514161.9,372,0.001785577,9831637.739,899,0.004315145,23759791.2,5586,0.026812457,147633140.9,135912,0.65236925,3592036420,4897794200,4907625838,5496308362
cl11,Cl,11,1,NA,NA,mexicana,MH,,2698,6.26,6122280000,354919,345982,41704,0.117502867,719385451.7,344,0.000969235,5933929.488,1916,0.005398415,33050607.27,8937,0.025180393,154161418.1,229314,0.64610235,3955619496,5396960619,5402894548,6116346071
cl12,Cl,12,1,NA,NA,mexicana,MH,,2698,5.92,5789760000,243742,237091,38514,0.15801134,914847735.1,257,0.001054394,6104685.774,1326,0.005440179,31497328.16,6651,0.027287049,157985467.3,158510,0.65031878,3765189658,4868807579,4874912265,5783655314
cl1,Cl,1,1,NA,NA,mexicana,MH,,2698,5.96,5828880000,297968,290721,17978,0.060335338,351687445.1,945,0.003171482,18486185.09,1529,0.005131424,29910451.86,7247,0.024321404,141766543.3,194448,0.652580143,3803811343,5458706370,5477192555,5810393815
cl2,Cl,2,1,NA,NA,mexicana,MH,,2698,6.13,5995140000,328185,318729,34302,0.104520316,626613929,1168,0.003558968,21336513,1346,0.004101345,24588139.13,9456,0.028813017,172738071,219208,0.667940339,4004395841,5347189558,5368526071,5973803487
cl4,Cl,4,1,NA,NA,mexicana,MH,,2698,6.05,5916900000,336038,329431,47461,0.141237003,835685222.8,983,0.002925264,17308496.96,1668,0.004963724,29369860.55,6607,0.019661467,116334933.3,221592,0.659425422,3901754280,5063906280,5081214777,5899591503
cl5,Cl,5,1,NA,NA,mexicana,MH,,2698,6.05,5916900000,278303,270907,39928,0.143469528,848894849.1,531,0.001907992,11289400.04,1321,0.004746625,28085305.94,7396,0.026575351,157243696.3,183627,0.659809632,3904027611,5056715751,5068005151,5905610600
cl7,Cl,7,1,NA,NA,mexicana,MH,,2698,6.09,5956020000,289725,279802,36343,0.125439641,747121010.8,313,0.001080335,6434495.677,1630,0.005626025,33508715.51,9923,0.03424972,203992014.7,190500,0.657520062,3916202640,5202464494,5208898989,5949585504
cl8,Cl,8,1,NA,NA,mexicana,MH,,2698,6.05,5916900000,318467,307091,29672,0.093171349,551285554.9,1113,0.003494868,20678782.1,1713,0.005378893,31826373.53,11376,0.035721127,211358333.5,207522,0.651627955,3855617448,5344935663,5365614445,5896221218
cl9,Cl,9,1,NA,NA,mexicana,MH,,2698,6.05,5916900000,314637,305750,41140,0.130753853,773657471.9,461,0.001465181,8669326.557,1699,0.005399874,31950511.54,8887,0.028245248,167124306.1,212563,0.675581702,3997349373,5134573201,5143242528,5908230673
cu10,Cu,10,1,NA,NA,mexicana,MH,,2792,6.09,5956020000,291911,286132,32373,0.11090024,660524048.3,780,0.002672047,15914767.17,1139,0.003901874,23239640.78,5779,0.01979713,117912101.9,151280,0.518240149,3086648689,5279581185,5295495952,5940105233
cu11,Cu,11,1,NA,NA,mexicana,MH,,2792,6.09,5956020000,343034,332208,45400,0.132348397,788269699.2,632,0.001842383,10973269.82,1607,0.004684667,27901969.31,10826,0.031559554,187969334,224336,0.653975991,3895094080,5156777031,5167750301,5945046730
cu12,Cu,12,1,NA,NA,mexicana,MH,,2792,6.09,5956020000,311725,301250,28425,0.091186142,543106483.3,1688,0.005415029,32252022.65,1652,0.005299543,31564183.3,10475,0.033603336,200142142.9,208352,0.668383992,3980908426,5380661494,5412913517,5923767977
cu1,Cu,1,1,NA,NA,mexicana,MH,,2792,6.38,6239640000,224063,218144,24273,0.108331139,675947308.2,177,0.000789956,4929043.528,1214,0.005418119,33807112.11,5919,0.026416677,164830557.3,153142,0.683477415,4264653017,5558763648,5563692692,6234710956
cu2,Cu,2,1,NA,NA,mexicana,MH,,2792,6.55,6405900000,193602,187139,17318,0.089451555,573017717.8,103,0.000532019,3408062.417,924,0.004772678,30573297.8,6463,0.03338292,213847644.7,129583,0.669326763,4287640312,5829474220,5832882282,6402491938
cu4,Cu,4,1,NA,NA,mexicana,MH,,2792,6.3,6161400000,263065,255240,19231,0.073103606,450420555.4,1282,0.00487332,30026475.59,1251,0.004755479,29300406.36,7825,0.0297455,183273924.7,175634,0.667644879,4113627155,5680952969,5710979445,6131373524
cu5,Cu,5,1,NA,NA,mexicana,MH,,2792,6.3,6161400000,311434,300451,14006,0.044972611,277094242.8,1374,0.00441185,27183170.75,1887,0.006059069,37332345.86,10983,0.035265899,217287310.3,204337,0.656116545,4042596479,5857122586,5884305757,6134216829
cu7,Cu,7,1,NA,NA,mexicana,MH,,2792,6.38,6239640000,281236,274575,36130,0.128468617,801597922,790,0.002809029,17527327.94,1383,0.004917578,30683917.14,6661,0.023684735,147784217,182230,0.647961143,4043044266,5420514750,5438042078,6222112672
cu9,Cu,9,1,NA,NA,mexicana,MH,,2792,6.51,6366780000,315565,304743,46936,0.148736393,946971895.1,793,0.002512953,15999418.63,1427,0.004522048,28790883.21,10822,0.034294044,218342633.6,205708,0.651872039,4150325861,5403808686,5419808105,6350780581
