FullID,Population,IndID,Plant,AB10Freq,ab10round,Species,Region,Group,Altitude,X2C_GS,X1c,GS_bp,Total_Reads,Total_corr,X180knobreads,X180knob.,X180knobbp,TR1total,TR1.,TR1bp,CentCreads,CentC.,CentCbp,mtreads,mt.,mtbp,TotalTereads,TotalTe.,TotalTebp,Gsnoknob,GSno180,GSnoTR1
cu9,Cu,9,1,NA,NA,mexicana,MH,1,2792,6.51,3.255,3183390000,315565,304743,46936,0.148736393,473485947.6,793,0.002512953,7999709.315,1427,0.004522048,14395441.6,10822,0.034294044,109171316.8,205708,0.651872039,2075162930,2701904343,2709904052,3175390291
da10,Da,10,1,NA,NA,mexicana,MH,1,2408,6.34,3.17,3100260000,269561,262541,29552,0.109630102,339881820.9,809,0.003001176,9304425.863,1196,0.004436844,13755368.77,7020,0.026042343,80738034.06,180830,0.670831463,2079751952,2751073753,2760378179,3090955574
da11,Da,11,1,NA,NA,mexicana,MH,1,2408,6.38,3.19,3119820000,233860,224169,9640,0.041221243,128602859.8,922,0.00394253,12299983.07,1079,0.004613872,14394448.73,9691,0.041439323,129283227.7,152279,0.651154537,2031484947,2978917157,2991217140,3107520017
da1,Da,1,1,NA,NA,mexicana,MH,1,2408,6.72,3.36,3286080000,350119,341070,45769,0.130724125,429569933.4,1465,0.004184292,13749917.03,1445,0.004127168,13562204.85,9049,0.025845498,84930374.87,227669,0.650261768,2136812191,2842760150,2856510067,3272330083
da2,Da,2,1,NA,NA,mexicana,MH,1,2408,6.64,3.32,3246960000,264813,256179,35138,0.13268986,430838669.1,792,0.00299079,9710974.612,1168,0.00441066,14321235.29,8634,0.03260414,105864336.9,173536,0.65531526,2127782437,2806410356,2816121331,3237249025
da3,Da,3,1,NA,NA,mexicana,MH,1,2408,6.38,3.19,3119820000,331512,320069,41394,0.124864258,389554010.4,1256,0.003788701,11820066.6,1357,0.004093366,12770565.59,11443,0.034517604,107688711.9,214472,0.64695094,2018370481,2718445923,2730265990,3107999933
da5,Da,5,1,NA,NA,mexicana,MH,1,2408,6.51,3.255,3183390000,289816,279064,28462,0.098207138,312631622.1,1759,0.006069368,19321165.88,1248,0.00430618,13708251.86,10752,0.037099401,118101862.1,188545,0.650567947,2071011495,2851437212,2870758378,3164068834
da8,Da,8,1,NA,NA,mexicana,MH,1,2408,6.17,3.085,3017130000,295445,284415,38897,0.131655638,397222175.4,1131,0.003828124,11549946.79,1257,0.004254599,12836678.26,11030,0.037333514,112640064.6,189571,0.641645653,1935928350,2608357878,2619907825,3005580053
da9,Da,9,1,NA,NA,mexicana,MH,1,2408,6.55,3.275,3202950000,207428,198871,17328,0.08353742,267566180.1,783,0.003774804,12090507.79,696,0.003355381,10747118.04,8557,0.041252868,132130875.1,134284,0.647376439,2073514365,2923293312,2935383820,3190859492
fp12,Fp,12,1,NA,NA,mexicana,MH,1,2507,6.55,3.275,3202950000,319828,309291,31237,0.097668122,312826110.1,1278,0.003995898,12798660.84,1405,0.004392986,14070515.25,10537,0.032945833,105523857,213514,0.66759008,2138257646,2877325229,2890123890,3190151339
fp1,Fp,1,1,NA,NA,mexicana,MH,1,2507,6.51,3.255,3183390000,220751,213749,20390,0.092366512,294038632.2,405,0.001834646,5840394.607,748,0.003388433,10786704.11,7002,0.031718996,100973933.4,145500,0.659113662,2098215840,2883510973,2889351368,3177549605
fp2,Fp,2,1,NA,NA,mexicana,MH,1,2507,6.26,3.13,3061140000,206818,202147,19436,0.093976346,287674752.9,385,0.00186154,5698434.856,797,0.00385363,11796500.21,4671,0.022585075,69136075.87,140214,0.677958398,2075325571,2767766812,2773465247,3055441565
fp3,Fp,3,1,NA,NA,mexicana,MH,1,2507,6.3,3.15,3080700000,172648,167890,15127,0.08761758,269923479.6,564,0.003266762,10063915.02,670,0.003880728,11955360.04,4758,0.027558964,84900900.1,114784,0.664844076,2048185144,2800712605,2810776520,3070636085
fp4,Fp,4,1,NA,NA,mexicana,MH,1,2507,6.43,3.215,3144270000,245769,236547,8048,0.032746197,102962883.7,726,0.002953993,9288152.778,934,0.003800317,11949221.34,9222,0.03752304,117982568.8,155236,0.63163377,1986027114,3032018964,3041307116,3134981847
fp5,Fp,5,1,NA,NA,mexicana,MH,1,2507,6.3,3.15,3080700000,207348,201959,26099,0.125870517,387769302.3,858,0.004137971,12747847.1,903,0.004354997,13416440.48,5389,0.025990123,80067771.57,136450,0.658072419,2027323702,2680182851,2692930698,3067952153
fp8,Fp,8,1,NA,NA,mexicana,MH,1,2507,6.68,3.34,3266520000,254576,248274,36841,0.144715134,472714880.1,687,0.002698605,8815046.352,1285,0.005047609,16488114.35,6302,0.024754887,80862332.03,167562,0.658200302,2150024449,2784990074,2793805120,3257704954
fp9,Fp,9,1,NA,NA,mexicana,MH,1,2507,6.13,3.065,2997570000,346553,334475,48966,0.141294405,423539870.1,988,0.002850935,8545876.561,1372,0.00395899,11867350.85,12078,0.034851812,104470746.1,222285,0.641417042,1922692481,2565484253,2574030130,2989024123
fpE,Fp,E,1,NA,NA,mexicana,MH,1,2507,6.05,3.025,2958450000,373933,364032,56908,0.152187691,450239675.6,1571,0.004201287,12429298.7,1583,0.004233379,12524239.24,9901,0.026478005,78333855.13,242388,0.64821238,1917703916,2495781026,2508210324,2946020701
m10,M,10,1,NA,NA,mexicana,MH,1,1881,6.51,3.255,3183390000,343213,328739,45574,0.132786346,422710724.4,1212,0.003531335,11241615.79,1409,0.004105322,13068842.12,14474,0.042172062,134250121.2,217819,0.634646706,2020327978,2749437660,2760679276,3172148384
m11,M,11,1,NA,NA,mexicana,MH,1,1881,6.3,3.15,3080700000,278273,272938,47421,0.17041179,524987601,505,0.001814765,5590745.419,1391,0.004998688,15399459.16,5335,0.01917182,59062627.35,184945,0.664617121,2047485963,2550121654,2555712399,3075109255
m2,M,2,1,NA,NA,mexicana,MH,1,1881,6.26,3.13,3061140000,250522,241771,23453,0.093616529,286573300.6,960,0.003831999,11730284.77,869,0.003468757,10618351.52,8751,0.034931064,106928877.1,164702,0.657435275,2012501418,2762836415,2774566699,3049409715
m4,M,4,1,NA,NA,mexicana,MH,1,1881,5.96,2.98,2914440000,217545,210578,23693,0.1089108,317413992.1,970,0.004458848,12995043.78,819,0.003764738,10972103.98,6967,0.032025558,93336567.06,143855,0.661265485,1927218581,2584030964,2597026008,2901444956
m5,M,5,1,NA,NA,mexicana,MH,1,1881,6.05,3.025,2958450000,257202,248465,12087,0.046994191,139029965.4,939,0.003650827,10800789.07,1282,0.004984409,14746125.22,8737,0.033969409,100496798.8,169956,0.660788019,1954908314,2808619246,2819420035,2947649211
m6,M,6,1,NA,NA,mexicana,MH,1,1881,6.13,3.065,2997570000,307352,299932,20204,0.065735704,197047373.3,1369,0.004454176,13351705.31,1572,0.005114657,15331541.82,7420,0.024141701,72366437.83,206646,0.672343111,2015395541,2787170921,2800522627,2984218295
m7,M,7,1,NA,NA,mexicana,MH,1,1881,6.17,3.085,3017130000,311206,303389,38248,0.122902515,370812864.3,1297,0.004167657,12574364.28,1412,0.004537188,13689284.78,7817,0.02511841,75785509.31,208105,0.668704974,2017569837,2633742771,2646317136,3004555636
m8,M,8,1,NA,NA,mexicana,MH,1,1881,6.09,3.045,2978010000,304657,294735,47684,0.156517001,466109194.4,1331,0.004368848,13010471.81,1339,0.004395107,13088671.49,9922,0.032567773,96987153.49,196517,0.645043442,1920945822,2498890334,2511900806,2964999528
m9,M,9,1,NA,NA,mexicana,MH,1,1881,6.17,3.085,3017130000,294039,285984,37726,0.128302708,387105949.8,886,0.003013206,9091233.408,1277,0.004342961,13103278.85,8055,0.027394325,82652240.52,192473,0.654583236,1974962717,2620932817,2630024050,3008038767
mc10,Mc,10,1,NA,NA,mexicana,MH,1,2491.5,6.17,3.085,3017130000,253444,246022,28334,0.1117959,337302762.8,1432,0.005650163,17047277.35,1024,0.00404034,12190231.85,7422,0.029284576,88355371.84,169467,0.668656587,2017423848,2662779960,2679827237,3000082723
mc11,Mc,11,1,NA,NA,mexicana,MH,1,2491.5,6.26,3.13,3061140000,258228,249000,22459,0.086973527,266238143.3,375,0.001452205,4445402.9,903,0.00349691,10704530.18,9228,0.035735861,109392474.6,172419,0.667700637,2043925127,2790456454,2794901857,3056694597
mc12,Mc,12,1,NA,NA,mexicana,MH,1,2491.5,6.64,3.32,3246960000,154891,149816,20927,0.135107915,438689994.4,569,0.003673551,11927873.41,603,0.00389306,12640611.01,5075,0.032764977,106386568.6,102010,0.658592171,2138422436,2796342132,2808270006,3235032127
mc1,Mc,1,1,NA,NA,mexicana,MH,1,2491.5,6.34,3.17,3100260000,529635,510079,34640,0.065403533,202767956,1910,0.003606257,11180334.76,2506,0.00473156,14669067.49,19556,0.036923542,114472579.3,341461,0.644710036,1998768737,2886311709,2897492044,3089079665
mc2,Mc,2,1,NA,NA,mexicana,MH,1,2491.5,6.05,3.025,2958450000,209788,203591,23226,0.110711766,327535224.6,1731,0.008251187,24410723.92,765,0.003646538,10788101.56,6197,0.029539344,87390673.68,139933,0.667020993,1973348256,2606504051,2630914775,2934039276
mc3,Mc,3,1,NA,NA,mexicana,MH,1,2491.5,6.26,3.13,3061140000,231023,222247,30497,0.132008501,404096503.7,1062,0.004596945,14071891.89,1022,0.004423802,13541877.13,8776,0.03798756,116285238.4,147237,0.637326154,1950944582,2642971604,2657043496,3047068108
mc5,Mc,5,1,NA,NA,mexicana,MH,1,2491.5,6.26,3.13,3061140000,237896,231082,34082,0.143264284,438552029,848,0.003564583,10911687.12,1041,0.004375862,13395125.35,6814,0.028642768,87679523.66,155510,0.653689007,2001033567,2611676284,2622587971,3050228313
mc6,Mc,6,1,NA,NA,mexicana,MH,1,2491.5,6.38,3.19,3119820000,282065,274191,41378,0.146696683,457667246.8,1057,0.003747363,11691098.65,1121,0.003974261,12398979.74,7874,0.027915551,87091495.51,184226,0.653133143,2037657842,2650461655,2662152753,3108128901
mc9,Mc,9,1,NA,NA,mexicana,MH,1,2491.5,6.17,3.085,3017130000,233942,227864,26646,0.113900027,343651187,348,0.001487548,4488126.288,879,0.003757342,11336387.95,6078,0.025980799,78387447.06,136271,0.582499081,1757475452,2668990687,2673478813,3012641874
mt10,Mt,10,1,NA,NA,mexicana,MH,1,2353,6.51,3.255,3183390000,238710,231210,12223,0.05120439,163003543.9,909,0.003807968,12122246.7,1172,0.004909723,15629563.4,7500,0.031418876,100018537.1,158553,0.664207616,2114431882,3008264209,3020386456,3171267753
mt11,Mt,11,1,NA,NA,mexicana,MH,1,2353,6.43,3.215,3144270000,280327,274005,32001,0.114155968,358937185,600,0.002140358,6729861.911,1032,0.003681415,11575362.49,6322,0.022552234,70910311.67,163389,0.582851456,1832642346,2778602953,2785332815,3137540138
mt12,Mt,12,1,NA,NA,mexicana,MH,1,2353,6.43,3.215,3144270000,299379,291059,41203,0.137628224,432740295.1,810,0.002705601,8507138.777,1511,0.005047114,15869489.74,8320,0.02779086,87381968.68,196411,0.65606138,2062834117,2703022566,2711529705,3135762861
mt1,Mt,1,1,NA,NA,mexicana,MH,1,2353,6.47,3.235,3163830000,264301,256004,30113,0.113934491,360469361.8,1230,0.004653785,14723784.25,1388,0.005251588,16615132.14,8297,0.031392238,99319705.6,173956,0.658173825,2082350091,2788636854,2803360638,3149106216
mt4,Mt,4,1,NA,NA,mexicana,MH,1,2353,6.34,3.17,3100260000,263483,252727,21919,0.083189428,257908855.4,1000,0.003795311,11766451.73,1034,0.003924352,12166511.08,10756,0.040822368,126559954.8,172426,0.654410341,2028842205,2830584693,2842351145,3088493548
mt5,Mt,5,1,NA,NA,mexicana,MH,1,2353,6.51,3.255,3183390000,202458,195865,20422,0.100870304,321109516.9,409,0.002020172,6430995.614,808,0.003990951,12704754.17,6593,0.032564779,103666391.4,131671,0.65036205,2070356048,2855849487,2862280483,3176959004
mt7,Mt,7,1,NA,NA,mexicana,MH,1,2353,6.26,3.13,3061140000,173168,166001,18705,0.108016493,330653606.3,597,0.003447519,10553338.84,610,0.003522591,10783143.54,7167,0.041387554,126693097.9,111924,0.646331886,1978512389,2719933055,2730486394,3050586661
mt8,Mt,8,1,NA,NA,mexicana,MH,1,2353,6.38,3.19,3119820000,159935,153707,16939,0.105911777,330425679.1,534,0.003338856,10416631.01,615,0.003845312,11996681.78,6228,0.03894082,121488348.1,103254,0.645599775,2014155090,2778977690,2789394321,3109403369
mt9,Mt,9,1,NA,NA,mexicana,MH,1,2353,6.43,3.215,3144270000,308474,300529,22637,0.073383818,230738538.7,1465,0.004749185,14932718.96,1133,0.003672919,11548648.87,7945,0.025755817,80983243.81,203889,0.660960081,2078236954,2898598742,2913531461,3129337281
tc12,Tc,12,1,NA,NA,mexicana,MH,1,2776,6.3,3.15,3080700000,269284,262309,35111,0.130386506,401681710.4,546,0.002027599,6246424.593,1169,0.004341142,13373755.22,6975,0.025902022,79796358.12,178850,0.664168684,2046104466,2672771865,2679018290,3074453575
tc1,Tc,1,1,NA,NA,mexicana,MH,1,2776,6.09,3.045,2978010000,270913,260246,34970,0.12908203,384407576.2,1159,0.004278126,12740302.57,1196,0.004414701,13147024.91,10667,0.039374264,117256952.1,171349,0.632487182,1883553154,2580862121,2593602424,2965269697
tc2,Tc,2,1,NA,NA,mexicana,MH,1,2776,6.13,3.065,2997570000,272237,264608,35197,0.129288084,387550080.6,597,0.002192942,6573497.688,1068,0.003923052,11759624,7629,0.028023377,84002033.27,181892,0.668138424,2002791694,2603446422,2610019919,2990996502
tc3,Tc,3,1,NA,NA,mexicana,MH,1,2776,6.22,3.11,3041580000,235303,228093,31194,0.132569496,403220726.1,883,0.003752608,11413858.47,975,0.004143594,12603071.36,7210,0.030641343,93198096.92,155642,0.66145353,2011863828,2626945415,2638359274,3030166142
tc4,Tc,4,1,NA,NA,mexicana,MH,1,2776,5.92,2.96,2894880000,204052,198341,24095,0.118082646,341835089.1,553,0.002710094,7845395.487,875,0.004288123,12413600.45,5711,0.027987964,81021796.8,134977,0.661483347,1914914913,2545199515,2553044911,2887034605
tc5,Tc,5,1,NA,NA,mexicana,MH,1,2776,6.34,3.17,3100260000,170986,165412,21012,0.122887254,380982437.9,560,0.003275122,10153729.55,666,0.003895056,12075685.49,5574,0.03259916,101065872.3,111866,0.654240698,2028316267,2709123833,2719277562,3090106270
tc7,Tc,7,1,NA,NA,mexicana,MH,1,2776,6.13,3.065,2997570000,263802,254939,14395,0.054567441,163569723.3,933,0.003536743,10601636.11,1237,0.004689123,14055974.14,8863,0.033597168,100709861.6,175098,0.663747811,1989630525,2823398641,2834000277,2986968364
tc8,Tc,8,1,NA,NA,mexicana,MH,1,2776,6.26,3.13,3061140000,251943,246030,23660,0.09391013,287472056.8,935,0.003711157,11360370.8,1159,0.004600247,14081999.74,5913,0.023469594,71843713.94,170241,0.675712364,2068450144,2762307572,2773667943,3049779629
tcE,Tc,E/1,1,NA,NA,mexicana,MH,1,2776,5.92,2.96,2894880000,343971,331786,13676,0.039759166,115098013.7,1171,0.003404357,9855204.305,1614,0.004692256,13583518.15,12185,0.035424498,102549670.8,227131,0.660320201,1911547745,2769926782,2779781986,2885024796
tx10,Tx,10,1,NA,NA,mexicana,MH,1,2253,6.3,3.15,3080700000,289552,278962,28187,0.097346936,299896705.6,1181,0.004078715,12565296.39,1254,0.004330828,13341982.79,10590,0.036573742,112672725.5,186491,0.644067387,1984178399,2768237998,2780803294,3068134704
tx11,Tx,11,1,NA,NA,mexicana,MH,1,2253,6.72,3.36,3286080000,189645,183448,23409,0.123435893,405620220.5,570,0.003005616,9876693.823,765,0.004033853,13255562.76,6197,0.032676844,107378722.1,123929,0.653478868,2147383840,2870583086,2880459779,3276203306
tx2,Tx,2,1,NA,NA,mexicana,MH,1,2253,6.64,3.32,3246960000,272887,265013,36820,0.134927644,438104663.1,825,0.003023229,9816304.917,1341,0.004914122,15955957.45,7874,0.028854434,93689193.84,179882,0.659181273,2140335226,2799039032,2808855337,3237143695
