Am,1591,0.09516
Cl,2698,0.12706
Cu,2792,0.12776
Da,2408,0.12116
Fp,2507,0.12047
M,1881,0.10923
Mc,2491.5,0.12456
Mt,2353,0.12324
Tc,2776,0.12449
Tx,2253,0.11459
Tz,1665,0.11082
