"","Mu.GS","Mu.StCS","b.GS","sd.GS","sd.StCS","sd.indiv","sd.motherGS","sd.motherStCS"
"1",1.78366540942334,2.73709087883256,0.378173321912319,0.0283207047183298,0.167858466134153,0.0896563137311236,0.0162298876635649,0.075834707423911
"2",1.78382673495306,2.80149605898458,0.334686004970856,0.0277986614160786,0.169575777068189,0.0953421370251951,0.0114429661848471,0.0746409298567423
"3",1.78303465183701,2.83406475246521,0.32469081281776,0.0284539791586285,0.167086859494407,0.094350962548272,0.0155778720768732,0.0266907545986085
"4",1.78841219037138,2.8807270279295,0.291589750016574,0.0262731198207524,0.167597517887968,0.0928926547833992,0.0241945010082001,0.0550892109731902
"5",1.7807051778472,3.04992984708558,0.209149342775325,0.0274232816198503,0.168314287072964,0.0877244810393113,0.0178000300822641,0.0508818475123481
"6",1.79115964788127,3.05889705571347,0.197449562505415,0.0281272289401363,0.16836098120949,0.0906994688171868,0.0179530688238321,0.0530210371080952
"7",1.78923569196496,3.06792292562787,0.188660221123931,0.0275782638890527,0.170145995086566,0.0883575843803091,0.0179063917985194,0.0639427704342734
"8",1.79292600682003,3.04905880986701,0.21199485006533,0.0254783159258429,0.167801630927029,0.0969978750698984,0.0255337612607244,0.0720621324951605
"9",1.79264305825643,3.02005179390807,0.210052873034093,0.0263619059865653,0.166094392738464,0.09850272096107,0.0187625368461399,0.066460415758946
"10",1.79102339986364,3.07481211973709,0.194952880766657,0.0285608060876911,0.165662771689608,0.0944121160188598,0.0253945079113035,0.0425135137633198
"11",1.79141431671091,3.00889081866453,0.229641627269274,0.028611785980445,0.166484735115672,0.0966909697750646,0.0167776398658529,0.043919462603893
"12",1.79062163532283,3.04536208182317,0.207511267886883,0.0284618682634169,0.168227813731409,0.0868277318119975,0.0181452692176682,0.0438856140352671
"13",1.78700861722311,3.07182632950388,0.182690747754559,0.0246196536728003,0.167245039959333,0.097737737568126,0.0149473208980754,0.0371816851647321
"14",1.7937760575683,3.04492966574879,0.212063037136603,0.0268152023390009,0.167608141061922,0.0891307447909436,0.0201100293839467,0.0618338305560376
"15",1.78796951010721,2.89429342830134,0.285486065013558,0.027749778883947,0.168158877757046,0.098281698324516,0.0174864277306032,0.0589957138976798
"16",1.78614156995033,2.84907223223509,0.318243629284349,0.0280113717949659,0.166411855891955,0.0927538454747645,0.0179680479466816,0.0581829846258803
"17",1.78160377160555,2.96583089852965,0.257950780093276,0.0282470742285466,0.167925118196146,0.0992192381555758,0.0182310797123671,0.0330214851419982
"18",1.78439523678368,2.94145610629324,0.271749544069225,0.0257688567284805,0.164510047499259,0.09090508927801,0.0168777081390005,0.0501940513104993
"19",1.79322191480131,3.04060733116901,0.207597854373007,0.0250243694438728,0.165682360411321,0.0970088928149501,0.0183338518133074,0.0622167726409784
"20",1.78976515041946,3.07147763948976,0.180796828717501,0.0271907806669301,0.168429638138864,0.0924186926995941,0.0176092379065868,0.0592788717617849
"21",1.78276033541831,3.22119335269923,0.0972819847948119,0.0273127906910392,0.166982676629824,0.106036313496984,0.0143152547910053,0.0514816956701546
"22",1.79158481340624,3.28518208725131,0.0884762217543983,0.0260981824517859,0.169864923718198,0.0930385608941046,0.0157667221602422,0.0630249652677512
"23",1.78638400808258,3.37652004339944,0.0178361252504832,0.0260432700677419,0.167151667011628,0.0912116680632019,0.020052118568036,0.0712825274363068
"24",1.79290499764904,3.43435824442063,-0.019415438117215,0.0248517318217733,0.165413287975689,0.0960312391509862,0.0189444355357511,0.0547892146569145
