FullID,Population,IndID,PopName,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,GS_bp,Total_Reads,Total_corr,180knobreads,180knob%,180knobbp,TR1total,TR1%,TR1bp,CentCreads,CentC%,CentCbp,Cpreads,CP%,CPbp,mtreads,mt%,mtbp,cDNAreads,cDNA%,cDNAbp,TotallTereads,TotallTe%,TotallTebp,TotFTereads,TotFTe%,TotFTebp,Gsnoknob,GSno180,GSnoTR1
RIMMA0403.2,RIMMA0403,2,NA,0,0,mays,SAL,1,1000,3.06,2992680000,682508,633210.3333,74752,11.80524007,353293058.5,6025,0.951500581,28475367.58,2425,0.382969113,11461040.07,45370,7.165075744,214427788.8,18891,2.983368875,89282683.66,30406.66667,4.801985228,143708051.5,414314,65.43070733,1958131692,120494,1020682.335,569478994.5,2610911574,2639386941,2964204632
RIMMA0404.1,RIMMA0404,1,NA,1,1,mays,SAL,1,1500,3.17,3100260000,593342,549389.3333,66931,12.18279933,377698454.4,9949,1.810919761,56143220.97,861,0.156719461,4858710.75,35268,6.419491217,199020918.4,17037,3.101079502,96141527.36,26915.66667,4.899197169,151887850.2,375800,68.40322103,2120677700,118076,969202.5358,666314901.9,2666418325,2722561546,3044116779
RIMMA0405.1B,RIMMA0405,1B,NA,0,0,mays,SAL,1,1100,3.17,3100260000,964644,893622,96061,10.74962344,333266275.7,11702,1.309502228,40597973.77,2967,0.332019579,10293470.19,49241,5.510271681,170832748.8,24913,2.787867801,86431150.29,46109,5.159787919,159966840.9,618151,69.17365508,2144563159,186764,1737400.394,647943939,2726395750,2766993724,3059662026
RIMMA0406.1,RIMMA0406,1,NA,0,0,mays,SAL,1,450,3.24,3168720000,878787,824129,87772,10.65027441,337477375.3,10971,1.331223631,42182749.45,2457,0.298132938,9446998.031,22975,2.787791717,88337313.7,13020,1.579849757,50061015.21,41638,5.052364375,160095280.4,564365,68.48017725,2169945073,160819,1509998.652,618338126.3,2789059875,2831242625,3126537251
RIMMA0407.1,RIMMA0407,1,NA,0,0,mays,SAL,1,450,3.425,3349650000,799756,730853,90688,12.40851443,415641803.8,11331,1.550380172,51932309.44,1140,0.15598212,5224855.067,88189,12.06658521,404188371.5,34484,4.718322289,158047282.6,34419,4.709428572,157749374.2,469652,64.2608021,2152511958,145922,1175982.836,668790614.9,2882075887,2934008196,3297717691
RIMMA0409.1,RIMMA0409,1,NA,0,0,mays,ML,1,107,3.11,3041580000,1322077,1200172.667,96787,8.064422952,245285875.6,11369,0.947280364,28812290.08,2621,0.218385243,6642361.888,125505,10.45724532,318065482.2,60093,5.007029544,152292809.2,61811.33333,5.150203387,156647556.2,804147,67.00260907,2037937957,227465,2820598.589,576461215.9,2767481834,2796294124,3012767710
RIMMA0410.1B,RIMMA0410,1B,NA,0,0,mays,ML,1,107,3.47,3393660000,237440,213950,19963,9.330684739,316651715.7,4153,1.941107735,65874596.77,636,0.297265716,10088187.71,30994,14.48656228,491624669.5,13157,6.149567656,208695417.7,10333,4.829633092,163901326.4,135314,63.24561814,2146341244,41735,447287.6446,661997663.5,3011133687,3077008284,3327785403
RIMMA0416.1,RIMMA0416,1,NA,0,0,mays,MH,1,2140,3,2934000000,1394832,1277031.5,73707,5.771744863,169342994.3,3820,0.299131227,8776510.211,4116,0.322309982,9456574.877,130425,10.21313883,299653493.3,52455,4.107572914,120516189.3,65345.5,5.116984193,150132316.2,835079,65.39220058,1918607165,221397,3835876.416,508663097.2,2755880496,2764657006,2925223490
RIMMA0417.1,RIMMA0417,1,NA,0,0,mays,MH,1,2040,2.885,2821530000,1700625,1552385.333,68629,4.420874027,124736286.9,7338,0.472691918,13337144.26,4713,0.303597303,8566088.976,174167,11.21931496,316556337.5,69768,4.494244986,126806470.5,78471.66667,5.054909047,142625775.2,1040103,67.00031092,1890433873,279846,6330105.728,508632661.9,2683456569,2696793713,2808192856
RIMMA0418.1,RIMMA0418,1,NA,0,0,mays,MH,1,2040,2.925,2860650000,1012791,936247.8333,65062,6.949228365,198793101.2,5127,0.547611414,15665245.92,4244,0.453298779,12967291.53,66779,7.132619978,204039293.4,29483,3.149059357,90083566.5,47060.16667,5.026464681,143789561.9,622127,66.44896552,1900872332,171154,2462920.932,522950946,2646191653,2661856899,2844984754
