FullID,uniqid,Population,IndID,PopName,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,GS_bp,Total_Reads,Total_corr,180knobreads,180knob%,180knobbp,TR1total,TR1%,TR1bp,CentCreads,CentC%,CentCbp,Cpreads,CP%,CPbp,mtreads,mt%,mtbp,cDNAreads,cDNA%,cDNAbp,TotallTereads,TotallTe%,TotallTebp,TotFTereads,TotFTe%,TotFTebp,Gsnoknob,GSno180,GSnoTR1
RIMMA0395.2,RIMMA0395_2,RIMMA0395,2,NA,0,0,mays,SAL,1,30,3.425,3349650000,1243517,1135583.167,118753,10.45744631,350287850.4,18043,1.588875261,53221760.17,4074,0.3587584,12017150.75,114424,10.07623249,337518521.6,50907,4.482894912,150161289.4,57026.83333,5.02181038,168213071.4,755227,66.50565297,2227706605,235296,2250033.067,694056824.3,2946140389,2999362150,3296428240
RIMMA0396.1,RIMMA0396_1,RIMMA0396,1,NA,0.153846154,0,mays,SAL,1,1100,3.025,2958450000,855315,793325,84317,10.62830492,314433086.9,13099,1.651151798,48848500.36,2292,0.288910598,8547275.581,56822,7.162512211,211899342.5,24024,3.028267104,89589768.13,37966,4.785680522,141581965.4,524013,66.05275265,1954137661,156570,1473141.777,583877372.5,2595168413,2644016913,2909601500
RIMMA0397.1,RIMMA0397_1,RIMMA0397,1,NA,1,1,mays,SAL,1,50,2.97,2904660000,516795,478881,47349,9.88742506,287196080.7,8191,1.71044581,49682635.27,1362,0.284413038,8261231.747,35003,7.309331546,212311229.7,13688,2.858330149,83024772.5,24226,5.05887684,146943172,325423,67.95487814,1973858163,99444,1005762.364,603179096.8,2567781284,2617463919,2854977365
RIMMA0398.1,RIMMA0398_1,RIMMA0398,1,NA,0,0,mays,SAL,1,27,3.335,3261630000,1143610,1063838.5,104658,9.837771429,320871704.2,17565,1.651096478,53852658.04,3705,0.348267148,11359185.77,65259,6.13429576,200078030.8,27945,2.626808486,85676773.64,51826.5,4.871651101,158895233.8,709957,66.73541144,2176662200,209542,2129974.268,642436303.5,2886905638,2940758296,3207777342
RIMMA0399.1,RIMMA0399_1,RIMMA0399,1,NA,0,0,mays,SAL,1,250,3.27,3198060000,1023572,953007.5,112556,11.81061009,377710397.2,18037,1.89263988,60527758.93,2670,0.280165686,8959866.738,60568,6.355458902,203251389,25965,2.724532598,87132187.21,44599.5,4.679868731,149665010,627690,65.86411964,2106374065,190593,1613743.9,639583476.1,2759821844,2820349603,3137532241
RIMMA0403.2,RIMMA0403_2,RIMMA0403,2,NA,0,0,mays,SAL,1,1000,3.06,2992680000,682508,633210.3333,74752,11.80524007,353293058.5,6025,0.951500581,28475367.58,2425,0.382969113,11461040.07,45370,7.165075744,214427788.8,18891,2.983368875,89282683.66,30406.66667,4.801985228,143708051.5,414314,65.43070733,1958131692,120494,1020682.335,569478994.5,2610911574,2639386941,2964204632
RIMMA0404.1,RIMMA0404_1,RIMMA0404,1,NA,1,1,mays,SAL,1,1500,3.17,3100260000,593342,549389.3333,66931,12.18279933,377698454.4,9949,1.810919761,56143220.97,861,0.156719461,4858710.75,35268,6.419491217,199020918.4,17037,3.101079502,96141527.36,26915.66667,4.899197169,151887850.2,375800,68.40322103,2120677700,118076,969202.5358,666314901.9,2666418325,2722561546,3044116779
RIMMA0405.1B,RIMMA0405_1B,RIMMA0405,1B,NA,0,0,mays,SAL,1,1100,3.17,3100260000,964644,893622,96061,10.74962344,333266275.7,11702,1.309502228,40597973.77,2967,0.332019579,10293470.19,49241,5.510271681,170832748.8,24913,2.787867801,86431150.29,46109,5.159787919,159966840.9,618151,69.17365508,2144563159,186764,1737400.394,647943939,2726395750,2766993724,3059662026
RIMMA0406.1,RIMMA0406_1,RIMMA0406,1,NA,0,0,mays,SAL,1,450,3.24,3168720000,878787,824129,87772,10.65027441,337477375.3,10971,1.331223631,42182749.45,2457,0.298132938,9446998.031,22975,2.787791717,88337313.7,13020,1.579849757,50061015.21,41638,5.052364375,160095280.4,564365,68.48017725,2169945073,160819,1509998.652,618338126.3,2789059875,2831242625,3126537251
RIMMA0407.1,RIMMA0407_1,RIMMA0407,1,NA,0,0,mays,SAL,1,450,3.425,3349650000,799756,730853,90688,12.40851443,415641803.8,11331,1.550380172,51932309.44,1140,0.15598212,5224855.067,88189,12.06658521,404188371.5,34484,4.718322289,158047282.6,34419,4.709428572,157749374.2,469652,64.2608021,2152511958,145922,1175982.836,668790614.9,2882075887,2934008196,3297717691
RIMMA0409.1,RIMMA0409_1,RIMMA0409,1,NA,0,0,mays,ML,1,107,3.11,3041580000,1322077,1200172.667,96787,8.064422952,245285875.6,11369,0.947280364,28812290.08,2621,0.218385243,6642361.888,125505,10.45724532,318065482.2,60093,5.007029544,152292809.2,61811.33333,5.150203387,156647556.2,804147,67.00260907,2037937957,227465,2820598.589,576461215.9,2767481834,2796294124,3012767710
RIMMA0410.1B,RIMMA0410_1B,RIMMA0410,1B,NA,0,0,mays,ML,1,107,3.47,3393660000,237440,213950,19963,9.330684739,316651715.7,4153,1.941107735,65874596.77,636,0.297265716,10088187.71,30994,14.48656228,491624669.5,13157,6.149567656,208695417.7,10333,4.829633092,163901326.4,135314,63.24561814,2146341244,41735,447287.6446,661997663.5,3011133687,3077008284,3327785403
RIMMA0415.1,RIMMA0415_1,RIMMA0415,1,NA,0,0,mays,SWUS,1,1941,3.16,3090480000,1039827,970845.5,126583,13.03842887,402950036.7,5979,0.615854943,19032873.84,2496,0.25709549,7945484.714,56007,5.768889077,178286363.1,22424,2.309739294,71382030.94,46557.5,4.795562219,148205891.3,624388,64.31383778,1987606294,183904,1410476.69,585419239.1,2668497089,2687529963,3071447126
RIMMA0416.1,RIMMA0416_1,RIMMA0416,1,NA,0,0,mays,MH,1,2140,3,2934000000,1394832,1277031.5,73707,5.771744863,169342994.3,3820,0.299131227,8776510.211,4116,0.322309982,9456574.877,130425,10.21313883,299653493.3,52455,4.107572914,120516189.3,65345.5,5.116984193,150132316.2,835079,65.39220058,1918607165,221397,3835876.416,508663097.2,2755880496,2764657006,2925223490
RIMMA0417.1,RIMMA0417_1,RIMMA0417,1,NA,0,0,mays,MH,1,2040,2.885,2821530000,1700625,1552385.333,68629,4.420874027,124736286.9,7338,0.472691918,13337144.26,4713,0.303597303,8566088.976,174167,11.21931496,316556337.5,69768,4.494244986,126806470.5,78471.66667,5.054909047,142625775.2,1040103,67.00031092,1890433873,279846,6330105.728,508632661.9,2683456569,2696793713,2808192856
RIMMA0418.1,RIMMA0418_1,RIMMA0418,1,NA,0,0,mays,MH,1,2040,2.925,2860650000,1012791,936247.8333,65062,6.949228365,198793101.2,5127,0.547611414,15665245.92,4244,0.453298779,12967291.53,66779,7.132619978,204039293.4,29483,3.149059357,90083566.5,47060.16667,5.026464681,143789561.9,622127,66.44896552,1900872332,171154,2462920.932,522950946,2646191653,2661856899,2844984754
RIMMA0421.1,RIMMA0421_1,RIMMA0421,1,NA,0,0,mays,MH,1,2250,2.715,2655270000,1627352,1503719.167,48636,3.234380533,85881535.98,2111,0.140385256,3727607.584,6289,0.418229689,11105127.47,87643,5.828415434,154760166.5,37407,2.487632055,66053347.65,86225.83333,5.73417133,152257731.1,1047852,69.68402234,1850298940,269075,8319212.821,475133117.3,2565660856,2569388464,2651542392
RIMMA0422.1,RIMMA0422_1,RIMMA0422,1,NA,0,0,mays,MH,1,2200,3.01,2943780000,1082289,995902.5,89993,9.036326347,266009567.7,4915,0.493522207,14528208.03,3091,0.310371748,9136661.45,111169,11.16263891,328603531.8,38324,3.848167868,113281596.1,48062.5,4.826024636,142067548,641935,64.45761508,1897490381,180198,1994151.086,532645784.5,2663242224,2677770432,2929251792
RIMMA0423.1,RIMMA0423_1,RIMMA0423,1,NA,0,0,mays,MH,1,2095,3.32,3246960000,1098715,1004079.5,49864,4.966140629,161248599.8,6182,0.6156883,19991152.81,6069,0.604434211,19625737.05,108166,10.77265296,349783732.6,42937,4.276255018,138848289.9,51698.5,5.148845286,167180946.9,659595,65.69151148,2132977101,173989,3503505.297,562640033.4,3065720247,3085711400,3226968847
RIMMA0424.1,RIMMA0424_1,RIMMA0424,1,NA,0,0,mays,MH,1,2400,2.695,2635710000,1425292,1302457.5,46156,3.543762464,93403301.65,5937,0.455830613,12014373.04,5570,0.42765311,11271695.78,142888,10.97064588,289154410.4,54460,4.181326454,110207639.5,68374.5,5.24965306,138365630.7,871179,66.88732646,1762955952,232506,6560992.796,470509317.4,2530292325,2542306698,2623695627
RIMMA0425.1,RIMMA0425_1,RIMMA0425,1,NA,0,0,mays,MH,1,2130,2.98,2914440000,1910013,1757566.833,62415,3.551216307,103498068.6,6870,0.390881295,11392000.82,6758,0.384508849,11206279.7,131506,7.482275923,218066442.4,56115,3.192766212,93051255.58,96331.16667,5.480939037,159738679.7,1211736,68.94395007,2009330058,316424,8910299.25,524701960.2,2799549931,2810941931,2903047999
RIMMA0426.1,RIMMA0426_1,RIMMA0426,1,NA,0,0,mays,SAH,1,2500,2.775,2713950000,1108325,1012439,6882,0.679744656,18447930.1,1457,0.143909905,3905642.858,5209,0.514500133,13963276.36,108366,10.70345967,290486543.6,41365,4.085678248,110883264.8,54521,5.38511456,146149316.6,684303,67.58955354,1834346688,165600,24362089.28,443908344.1,2691596427,2695502070,2710044357
RIMMA0428.1,RIMMA0428_1,RIMMA0428,1,NA,0,0,mays,SAL,1,700,2.99,2924220000,1114646,1015298.5,60649,5.973514193,174678696.7,6171,0.607801548,17773454.43,2708,0.26671959,7799467.605,119384,11.7585124,343844771.2,46229,4.553242224,133146819.8,53118.5,5.231811137,152989667.6,669431,65.93440254,1928066986,183545,3072646.922,528638582.5,2731767849,2749541303,2906446546
RIMMA0430.1,RIMMA0430_1,RIMMA0430,1,NA,0,0,mays,SAH,1,2585,2.65,2591700000,729392,663056.8333,4984,0.751670106,19481034.13,884,0.133321905,3455303.806,2882,0.43465354,11264915.8,75841,11.43808437,296440832.5,28727,4.332509456,112285647.6,37608.16667,5.671937122,146999594.4,456249,68.80993862,1783347179,114540,15238067.75,447704183.2,2568763662,2572218966,2588244696
