FullID,Population,IndID,Plant,AB10Freq,ab10round,Species,Region,Group,Altitude,X1C_GS,GS_bp,Total_Reads,Total_corr,X180knobreads,X180knob.,X180knobbp,TR1total,TR1.,TR1bp,CentCreads,CentC.,CentCbp,mtreads,mt.,mtbp,TotalTereads,TotalTe.,TotalTebp,Gsnoknob,GSno180,GSnoTR1
cl11,Cl,11,1,NA,NA,mexicana,MH,1,2698,6.26,6122280000,354919,345982,41704,0.117502867,719385451.7,344,0.000969235,5933929.488,1916,0.005398415,33050607.27,8937,0.025180393,154161418.1,229314,0.64610235,3955619496,5396960619,5402894548,6116346071
cl12,Cl,12,1,NA,NA,mexicana,MH,1,2698,5.92,5789760000,243742,237091,38514,0.15801134,914847735.1,257,0.001054394,6104685.774,1326,0.005440179,31497328.16,6651,0.027287049,157985467.3,158510,0.65031878,3765189658,4868807579,4874912265,5783655314
cl1,Cl,1,1,NA,NA,mexicana,MH,1,2698,5.96,5828880000,297968,290721,17978,0.060335338,351687445.1,945,0.003171482,18486185.09,1529,0.005131424,29910451.86,7247,0.024321404,141766543.3,194448,0.652580143,3803811343,5458706370,5477192555,5810393815
cl2,Cl,2,1,NA,NA,mexicana,MH,1,2698,6.13,5995140000,328185,318729,34302,0.104520316,626613929,1168,0.003558968,21336513,1346,0.004101345,24588139.13,9456,0.028813017,172738071,219208,0.667940339,4004395841,5347189558,5368526071,5973803487
cl4,Cl,4,1,NA,NA,mexicana,MH,1,2698,6.05,5916900000,336038,329431,47461,0.141237003,835685222.8,983,0.002925264,17308496.96,1668,0.004963724,29369860.55,6607,0.019661467,116334933.3,221592,0.659425422,3901754280,5063906280,5081214777,5899591503
cl5,Cl,5,1,NA,NA,mexicana,MH,1,2698,6.05,5916900000,278303,270907,39928,0.143469528,848894849.1,531,0.001907992,11289400.04,1321,0.004746625,28085305.94,7396,0.026575351,157243696.3,183627,0.659809632,3904027611,5056715751,5068005151,5905610600
cl7,Cl,7,1,NA,NA,mexicana,MH,1,2698,6.09,5956020000,289725,279802,36343,0.125439641,747121010.8,313,0.001080335,6434495.677,1630,0.005626025,33508715.51,9923,0.03424972,203992014.7,190500,0.657520062,3916202640,5202464494,5208898989,5949585504
cl8,Cl,8,1,NA,NA,mexicana,MH,1,2698,6.05,5916900000,318467,307091,29672,0.093171349,551285554.9,1113,0.003494868,20678782.1,1713,0.005378893,31826373.53,11376,0.035721127,211358333.5,207522,0.651627955,3855617448,5344935663,5365614445,5896221218
cl9,Cl,9,1,NA,NA,mexicana,MH,1,2698,6.05,5916900000,314637,305750,41140,0.130753853,773657471.9,461,0.001465181,8669326.557,1699,0.005399874,31950511.54,8887,0.028245248,167124306.1,212563,0.675581702,3997349373,5134573201,5143242528,5908230673
cu10,Cu,10,1,NA,NA,mexicana,MH,1,2792,6.09,5956020000,291911,286132,32373,0.11090024,660524048.3,780,0.002672047,15914767.17,1139,0.003901874,23239640.78,5779,0.01979713,117912101.9,151280,0.518240149,3086648689,5279581185,5295495952,5940105233
cu11,Cu,11,1,NA,NA,mexicana,MH,1,2792,6.09,5956020000,343034,332208,45400,0.132348397,788269699.2,632,0.001842383,10973269.82,1607,0.004684667,27901969.31,10826,0.031559554,187969334,224336,0.653975991,3895094080,5156777031,5167750301,5945046730
cu12,Cu,12,1,NA,NA,mexicana,MH,1,2792,6.09,5956020000,311725,301250,28425,0.091186142,543106483.3,1688,0.005415029,32252022.65,1652,0.005299543,31564183.3,10475,0.033603336,200142142.9,208352,0.668383992,3980908426,5380661494,5412913517,5923767977
cu1,Cu,1,1,NA,NA,mexicana,MH,1,2792,6.38,6239640000,224063,218144,24273,0.108331139,675947308.2,177,0.000789956,4929043.528,1214,0.005418119,33807112.11,5919,0.026416677,164830557.3,153142,0.683477415,4264653017,5558763648,5563692692,6234710956
cu2,Cu,2,1,NA,NA,mexicana,MH,1,2792,6.55,6405900000,193602,187139,17318,0.089451555,573017717.8,103,0.000532019,3408062.417,924,0.004772678,30573297.8,6463,0.03338292,213847644.7,129583,0.669326763,4287640312,5829474220,5832882282,6402491938
cu4,Cu,4,1,NA,NA,mexicana,MH,1,2792,6.3,6161400000,263065,255240,19231,0.073103606,450420555.4,1282,0.00487332,30026475.59,1251,0.004755479,29300406.36,7825,0.0297455,183273924.7,175634,0.667644879,4113627155,5680952969,5710979445,6131373524
cu5,Cu,5,1,NA,NA,mexicana,MH,1,2792,6.3,6161400000,311434,300451,14006,0.044972611,277094242.8,1374,0.00441185,27183170.75,1887,0.006059069,37332345.86,10983,0.035265899,217287310.3,204337,0.656116545,4042596479,5857122586,5884305757,6134216829
cu7,Cu,7,1,NA,NA,mexicana,MH,1,2792,6.38,6239640000,281236,274575,36130,0.128468617,801597922,790,0.002809029,17527327.94,1383,0.004917578,30683917.14,6661,0.023684735,147784217,182230,0.647961143,4043044266,5420514750,5438042078,6222112672
cu9,Cu,9,1,NA,NA,mexicana,MH,1,2792,6.51,6366780000,315565,304743,46936,0.148736393,946971895.1,793,0.002512953,15999418.63,1427,0.004522048,28790883.21,10822,0.034294044,218342633.6,205708,0.651872039,4150325861,5403808686,5419808105,6350780581
da10,Da,10,1,NA,NA,mexicana,MH,1,2408,6.34,6200520000,269561,262541,29552,0.109630102,679763641.8,809,0.003001176,18608851.73,1196,0.004436844,27510737.53,7020,0.026042343,161476068.1,180830,0.670831463,4159503903,5502147507,5520756358,6181911148
da11,Da,11,1,NA,NA,mexicana,MH,1,2408,6.38,6239640000,233860,224169,9640,0.041221243,257205719.7,922,0.00394253,24599966.13,1079,0.004613872,28788897.46,9691,0.041439323,258566455.3,152279,0.651154537,4062969895,5957834314,5982434280,6215040034
da1,Da,1,1,NA,NA,mexicana,MH,1,2408,6.72,6572160000,350119,341070,45769,0.130724125,859139866.8,1465,0.004184292,27499834.06,1445,0.004127168,27124409.7,9049,0.025845498,169860749.7,227669,0.650261768,4273624382,5685520299,5713020133,6544660166
da2,Da,2,1,NA,NA,mexicana,MH,1,2408,6.64,6493920000,264813,256179,35138,0.13268986,861677338.2,792,0.00299079,19421949.22,1168,0.00441066,28642470.57,8634,0.03260414,211728673.7,173536,0.65531526,4255564875,5612820713,5632242662,6474498051
