"","x"
"224","RIMME0028.7"
"225","RIMME0028.8"
"226","RIMME0028.13"
"227","RIMME0028.14"
"228","RIMME0035.3"
"229","RIMME0035.4"
"230","RIMME0035.7"
"231","RIMME0035.8"
"232","RIMME0035.12"
"233","RIMME0031.1"
"234","RIMME0031.4"
"235","RIMME0031.5"
"236","RIMME0031.8"
"237","RIMME0031.9"
"238","RIMME0030.1"
"239","RIMME0030.2"
"240","RIMME0035.5"
"241","RIMME0035.6"
"242","RIMME0035.9"
"243","RIMME0035.11"
"244","RIMME0031.2"
"245","RIMME0031.3"
"246","RIMME0031.6"
"247","RIMME0031.7"
"248","RIMME0031.10"
"249","RIMME0031.11"
"250","RIMME0030.4"
"251","RIMME0030.5"
"252","RIMME0030.6"
"253","RIMME0030.7"
"254","RIMME0030.11"
"255","RIMME0030.12"
"256","RIMME0029.1"
"257","RIMME0029.2"
"258","RIMME0030.8"
"259","RIMME0030.9"
"260","RIMME0030.13"
"261","RIMME0030.14"
"262","RIMME0029.3"
"263","RIMME0029.6"
"264","RIMME0031.12"
"265","RIMME0035.1"
"266","RIMME0035.2"
"267","RIMME0035.10"
"268","RIMME0029.4"
"269","RIMME0029.8"
"270","RIMME0029.9"
"271","RIMME0029.10"
"272","RIMME0029.11"
"273","RIMME0029.12"
"274","RIMME0029.13"
"275","RIMME0029.14"
"276","RIMMA0381.1"
"277","RIMMA0382.1"
"278","RIMMA0383.1"
"279","RIMMA0385.1"
"280","RIMMA0387.1"
"281","RIMMA0415.1"
