"","x"
"223","RIMPA0110.8"
"224","RIMPA158.C50..1"
"225","RIMPA0110.9"
"226","RIMME0021.C1.1.1"
"227","RIMME0021.C2.1.1"
"228","RIMME0021.C3.1.1"
"229","RIMME0021.C4.1.1"
"230","RIMME0021.C6.1.1"
"231","RIMME0021.C7.1.1"
"232","RIMME0021.C9.1.1"
"233","RIMME0021.C10.1.1"
"234","RIMME0021.C11.1.1"
"235","RIMME0021.C12.1.1"
"236","RIMME0021.C13.1.1"
"237","RIMME0021.C14.1.1"
"238","RIMME0026.C3.1.1"
"239","RIMME0026.C4.1.1"
"240","RIMME0026.C5.1.1"
"241","RIMME0026.C6.1.1"
"242","RIMME0026.C7.1.1"
"243","RIMME0026.C8.1.1"
"244","RIMME0026.C9.1.1"
"245","RIMME0026.C10.1.1"
"246","RIMME0026.C11.1.1"
"247","RIMME0026.C12.1.1"
"248","RIMME0026.C14.1.1"
"249","RIMME0026.C15.1.1"
"250","RIMME0034.1"
"251","RIMME0034.2"
"252","RIMME0034.5"
"253","RIMME0034.6"
"254","RIMME0034.9"
"255","RIMME0034.10"
"256","RIMME0032.1"
"257","RIMME0032.3"
"258","RIMME0032.7"
"259","RIMME0032.8"
"260","RIMME0032.12"
"261","RIMME0032.13"
"262","RIMME0034.3"
"263","RIMME0034.4"
"264","RIMME0034.7"
"265","RIMME0034.8"
"266","RIMME0034.12"
"267","RIMME0034.13"
"268","RIMME0032.4"
"269","RIMME0032.5"
"270","RIMME0032.9"
"271","RIMME0032.10"
"272","RIMME0032.14"
"273","RIMME0032.15"
"274","RIMME0033.1"
"275","RIMME0033.3_dup1"
"276","RIMME0033.6"
"277","RIMME0033.7"
"278","RIMME0033.10"
"279","RIMME0033.11"
"280","RIMME0028.1"
"281","RIMME0028.2"
"282","RIMME0028.5"
"283","RIMME0028.6"
"284","RIMME0028.9"
"285","RIMME0028.10"
"286","RIMME0033.4"
"287","RIMME0033.5"
"288","RIMME0033.8"
"289","RIMME0033.9"
"290","RIMME0033.12"
"291","RIMME0033.13"
"292","RIMME0028.3"
"293","RIMME0028.4"
"294","RIMME0028.7"
"295","RIMME0028.8"
"296","RIMME0028.13"
"297","RIMME0028.14"
"298","RIMME0035.3"
"299","RIMME0035.4"
"300","RIMME0035.7"
"301","RIMME0035.8"
"302","RIMME0035.12"
"303","RIMME0031.1"
"304","RIMME0031.4"
"305","RIMME0031.5"
"306","RIMME0031.8"
"307","RIMME0031.9"
"308","RIMME0030.1"
"309","RIMME0030.2"
"310","RIMME0035.5"
"311","RIMME0035.6"
"312","RIMME0035.9"
"313","RIMME0035.11"
"314","RIMME0031.2"
"315","RIMME0031.3"
"316","RIMME0031.6"
"317","RIMME0031.7"
"318","RIMME0031.10"
"319","RIMME0031.11"
"320","RIMME0030.4"
"321","RIMME0030.5"
"322","RIMME0030.6"
"323","RIMME0030.7"
"324","RIMME0030.11"
"325","RIMME0030.12"
"326","RIMME0029.1"
"327","RIMME0029.2"
"328","RIMME0030.8"
"329","RIMME0030.9"
"330","RIMME0030.13"
"331","RIMME0030.14"
"332","RIMME0029.3"
"333","RIMME0029.6"
"334","RIMME0031.12"
"335","RIMME0035.1"
"336","RIMME0035.2"
"337","RIMME0035.10"
"338","RIMME0029.4"
"339","RIMME0029.8"
"340","RIMME0029.9"
"341","RIMME0029.10"
"342","RIMME0029.11"
"343","RIMME0029.12"
"344","RIMME0029.13"
"345","RIMME0029.14"
"346","RIMMA0381.1"
"347","RIMMA0382.1"
"348","RIMMA0383.1"
"349","RIMMA0384.1"
"350","RIMMA0385.1"
"351","RIMMA0386.1"
"352","RIMMA0387.1"
"353","RIMMA0415.1"
